experiment_number,player,delta_package_energy_j
1,web,711.441650390625
2,web,596.7733764648438
3,web,619.2368774414062
5,native,676.5955810546875
6,web,621.1198120117188
7,native,690.804931640625
8,web,616.4273681640625
9,web,586.15478515625
10,web,625.748779296875
11,web,580.6834106445312
12,native,695.7958374023438
13,native,690.8587036132812
15,web,572.3931274414062
16,native,708.3876342773438
17,native,663.8618774414062
18,web,642.9820556640625
19,native,685.921142578125
20,native,653.2203369140625
21,native,694.4360961914062
22,web,617.7328491210938
23,web,612.0074462890625
24,native,727.4275512695312
25,native,675.77001953125
26,native,680.5385131835938
27,web,646.3259887695312
28,native,724.608154296875
29,web,629.0553588867188
30,web,591.7511596679688
31,web,653.7393798828125
32,web,591.8756103515625
33,web,625.1680297851562
34,native,741.2384033203125
35,web,646.768798828125
36,native,703.6856689453125
37,web,673.1041259765625
39,native,683.0454711914062
40,web,622.9009399414062
41,web,610.2702026367188
42,web,688.0631713867188
43,web,598.0785522460938
44,native,697.2626953125
45,native,672.4991455078125
46,native,695.3194580078125
47,web,638.11474609375
48,native,701.7431640625
49,native,657.5271606445312
50,native,691.9336547851562
51,native,666.3406372070312
52,native,713.5978393554688
53,web,658.071533203125
54,web,610.7552490234375
55,native,710.8370971679688
56,web,623.0027465820312
57,native,711.1646118164062
58,native,706.5857543945312
59,native,695.9329223632812
60,native,672.4561767578125
