experiment_number,player,delta_package_energy_j
34,native,491.47955322265625
15,web,304.98114013671875
27,native,475.19366455078125
22,native,446.87286376953125
59,native,422.88232421875
5,native,372.0941162109375
6,web,321.47283935546875
47,web,327.30126953125
43,native,469.4837646484375
3,native,389.1419677734375
44,native,284.972900390625
55,native,464.7525634765625
57,web,359.236328125
17,native,485.4969482421875
37,web,332.45733642578125
30,web,400.84063720703125
13,native,485.44940185546875
35,web,322.2926025390625
16,web,220.009765625
1,web,236.1390380859375
53,web,315.27777099609375
26,web,198.1605224609375
52,native,542.3193359375
46,web,298.243896484375
9,web,271.8262939453125
50,native,377.481201171875
33,web,191.9859619140625
56,native,421.50567626953125
31,native,292.18841552734375
51,native,529.7351684570312
28,native,454.73675537109375
36,web,310.11517333984375
25,web,308.88873291015625
11,web,304.6414794921875
21,native,416.968505859375
4,native,276.690673828125
20,web,305.387451171875
60,native,480.0888671875
38,native,445.00299072265625
29,web,194.13580322265625
40,native,405.9630126953125
42,web,321.44342041015625
45,web,318.6851806640625
14,native,521.3073120117188
19,native,428.35943603515625
49,native,489.637451171875
18,native,458.43206787109375
8,web,279.3565673828125
12,web,301.7901611328125
41,native,433.5341796875
23,native,493.455322265625
54,web,343.80126953125
24,native,272.891845703125
2,web,318.06201171875
48,web,313.6927490234375
39,web,328.818359375
32,web,204.48187255859375
10,native,423.6448974609375
58,web,309.645751953125
7,web,302.8076171875
