Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740405035161,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,11962.855834960938,108425.15478515625,83811.90057373047,3448.5221557617188,17024311296,8053063680,6124503040,0
200,1740405035162,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,11962.860168457031,108425.23468017578,83811.95245361328,3448.5221557617188,17024311296,8053063680,6124527616,0
199,1740405035363,2801,2801,2801,2801,2801,2801,2801,2801,7.038017272949219,5.2132568359375,7.8109588623046875,5.094276428222656,5.3683319091796875,4.6376953125,9.315780639648438,5.2376556396484375,11962.994445800781,108427.80407714844,83812.22247314453,3448.5849609375,17024311296,8053063680,6121361408,0
200,1740405035563,2801,2801,2801,2801,2801,2801,2801,2801,6.5226593017578125,4.6090850830078125,1.8397369384765625,2.850555419921875,0.5631790161132813,0.41739654541015625,0.687774658203125,0.94091796875,11963.099487304688,108430.19775390625,83812.44061279297,3448.5849609375,17024311296,8053063680,6121328640,0
200,1740405035763,2801,2801,2801,2801,2801,2801,2801,2801,19.843017578125,4.832374572753906,19.853477478027344,3.4762954711914063,23.124221801757813,3.15093994140625,8.799339294433594,6.1151580810546875,11963.286315917969,108433.82196044922,83813.63885498047,3448.74169921875,17024311296,8053063680,6120390656,0
200,1740405035963,2801,2801,2801,2801,2801,2801,2801,2801,4.0242767333984375,9.050895690917969,6.16790771484375,2.37835693359375,2.6412582397460938,0.533203125,2.3318634033203125,1.67584228515625,11963.425354003906,108436.5322265625,83814.0757446289,3448.7823486328125,17024311296,8053063680,6128476160,0
200,1740405036164,2801,2801,2801,2801,2801,2801,2801,2801,1.8034133911132813,0.2494964599609375,2.5195159912109375,0.9231491088867188,3.4927825927734375,0.07049560546875,0.6357421875,0.99200439453125,11963.540771484375,108438.9672241211,83814.27514648438,3448.7874145507813,17024311296,8053063680,6128377856,0
200,1740405036365,2801,2801,2801,2801,2801,2801,2801,2801,9.769020080566406,1.7482070922851563,8.231193542480469,0.6860809326171875,1.9608688354492188,2.2248077392578125,4.7859039306640625,1.5731124877929688,11963.665771484375,108439.71643066406,83814.74975585938,3448.8028564453125,17024311296,8053063680,6105649152,0
200,1740405036566,2801,2801,2801,2801,2801,2801,2801,2801,5.431488037109375,4.8880157470703125,1.6789169311523438,0.697479248046875,0.689208984375,0.38666534423828125,0.44445037841796875,2.6141357421875,11963.772094726563,108440.0023803711,83814.9755859375,3448.8028564453125,17024311296,8053063680,6105636864,0
199,1740405036767,2801,2801,2801,2801,2801,2801,2801,2801,2.8085250854492188,3.37652587890625,7.227653503417969,2.88055419921875,4.484619140625,1.9114990234375,3.3092727661132813,2.514801025390625,11963.887634277344,108440.3334350586,83815.26037597656,3448.8121337890625,17024311296,8053063680,6102499328,0
