Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740336993920,2801,2801,2801,2801,2801,2801,2801,2801,21.68157958984375,9.769317626953125,75.2064208984375,0,14.121391296386719,0,12.59454345703125,0,8592.755493164063,73335.73223876953,58729.786865234375,1368.5625610351563,17024311296,8053063680,6719766528,0
199,1740336993920,2801,2801,2801,2801,2801,2801,2801,2801,16.94049072265625,10.266021728515625,53.42917251586914,37.27433395385742,94.59833526611328,7.0231170654296875,46.90275955200195,6.60760498046875,8592.761535644531,73335.79711914063,58729.85095214844,1368.5625610351563,17024311296,8053063680,6719791104,0
200,1740336994120,2801,2801,2801,2801,2801,2801,2801,2801,11.360809326171875,1.37689208984375,1.9673233032226563,2.3559494018554688,2.9706649780273438,2.069732666015625,2.6241226196289063,3.067047119140625,8592.908325195313,73336.583984375,58730.40979003906,1368.5945434570313,17024311296,8053063680,6716399616,0
200,1740336994320,2801,2801,2801,2801,2801,2801,2801,2801,3.4811477661132813,19.656478881835938,6.1810150146484375,8.162765502929688,20.10511016845703,1.8689651489257813,4.174995422363281,11.805282592773438,8593.052673339844,73337.9321899414,58731.61309814453,1368.5945434570313,17024311296,8053063680,6714847232,0
200,1740336994521,2801,2801,2801,2801,2801,2801,2801,2801,4.910667419433594,30.3687744140625,65.73519897460938,4.688926696777344,6.4716949462890625,6.162322998046875,6.048728942871094,6.855308532714844,8593.343017578125,73340.49365234375,58733.765686035156,1368.7001342773438,17024311296,8053063680,6707433472,0
200,1740336994721,2801,2801,2801,2801,2801,2801,2801,2801,2.1305465698242188,2.8933792114257813,5.273040771484375,2.6098175048828125,3.4257049560546875,0.947052001953125,0.9984664916992188,0.43859100341796875,8593.4638671875,73341.01477050781,58734.09460449219,1368.7001342773438,17024311296,8053063680,6707040256,0
200,1740336994922,2801,2801,2801,2801,2801,2801,2801,2801,1.3269271850585938,4.180488586425781,5.6499176025390625,2.3023834228515625,7.443206787109375,1.2237930297851563,6.8436126708984375,2.8769760131835938,8593.59814453125,73341.84503173828,58734.709533691406,1368.71875,17024311296,8053063680,6716461056,0
200,1740336995122,2801,2801,2801,2801,2801,2801,2801,2801,4.140083312988281,1.2923126220703125,3.1090621948242188,0.33156585693359375,6.18707275390625,1.39019775390625,1.187957763671875,1.6553268432617188,8593.725524902344,73342.40557861328,58735.0712890625,1368.7251586914063,17024311296,8053063680,6716461056,0
200,1740336995323,2801,2801,2801,2801,2801,2801,2801,2801,5.7723846435546875,0.6020584106445313,3.3236160278320313,0.8550949096679688,1.8121261596679688,0.4420928955078125,4.261238098144531,0.257720947265625,8593.843872070313,73342.80487060547,58735.3984375,1368.7251586914063,17024311296,8053063680,6716059648,0
200,1740336995523,2801,2801,2801,2801,2801,2801,2801,2801,1.5712661743164063,7.730743408203125,3.7625274658203125,5.2878875732421875,5.313987731933594,1.2827987670898438,3.4418258666992188,1.11907958984375,8593.979858398438,73343.4765625,58735.94152832031,1368.7303466796875,17024311296,8053063680,6708617216,0
